id_municipio,id_estacao,estacao,data_fundacao,geolocalizacao,altitude
1301159,A101,MANAUS,2000-05-09,POINT(-3.10333333 -60.01638888),61.25
2927408,A401,SALVADOR,2000-05-13,POINT(-13.00555555 -38.50583333),47.56
3305554,A601,SEROPEDICA-ECOLOGIA AGRICOLA,2000-05-24,POINT(-22.75777777 -43.68472221),35
4314902,A801,PORTO ALEGRE - JARDIM BOTANICO,2000-09-22,POINT(-30.05361111 -51.17472221),41.18
5213806,A003,MORRINHOS,2001-05-25,POINT(-17.74499999 -49.10166666),751.09
5208707,A002,GOIANIA,2001-05-29,POINT(-16.64277777 -49.22027777),727.3
5218003,A005,PORANGATU,2001-06-04,POINT(-13.30944444 -49.11749999),365
3506003,A705,BAURU,2001-08-30,POINT(-22.35805555 -49.02888888),636.17
5007802,A704,TRES LAGOAS,2001-09-03,POINT(-20.79499999 -51.71333333),328.94
5006606,A703,PONTA PORA,2001-09-07,POINT(-22.5525 -55.71638888),668
5008008,A702,CAMPO GRANDE,2001-09-10,POINT(-20.44722221 -54.72249999),528.47
4315602,A802,RIO GRANDE,2001-11-16,POINT(-32.07888888 -52.16777777),4.92
4317103,A804,SANTANA DO LIVRAMENTO,2001-11-22,POINT(-30.75055555 -55.40138888),196
4316907,A803,SANTA MARIA,2001-11-26,POINT(-29.72499999 -53.72055554),105
4317806,A805,SANTO AUGUSTO,2001-12-05,POINT(-27.85444444 -53.7911111),489.67
2907400,A402,BARREIRAS,2001-12-20,POINT(-12.12472221 -45.02694443),474.17
3509700,A706,CAMPOS DO JORDAO,2002-03-13,POINT(-22.75027777 -45.60388888),1662.95
2903201,A404,LUIS EDUARDO MAGALHAES,2002-04-18,POINT(-12.08499999 -45.70527777),748
3301702,A603,DUQUE DE CAXIAS - XEREM,2002-10-21,POINT(-22.58972221 -43.28222221),22
3304557,A602,RIO DE JANEIRO-MARAMBAIA,2002-11-08,POINT(-23.05027777 -43.59555555),12
3300902,A604,CAMBUCI,2002-11-20,POINT(-21.58749999 -41.95833333),46
3105608,A502,BARBACENA,2002-12-05,POINT(-21.22833332 -43.76777777),1168.76
5103403,A901,CUIABA,2002-12-08,POINT(-15.60694444 -56.06083333),184
5106232,A902,TANGARA DA SERRA,2002-12-11,POINT(-14.65 -57.43166666),440.01
3516200,A708,FRANCA,2002-12-12,POINT(-20.58444444 -47.38249999),1002.74
5102637,A905,CAMPO NOVO DOS PARECIS,2002-12-13,POINT(-13.78583333 -57.8386111),525.41
3101706,A508,ALMENARA,2002-12-15,POINT(-16.16666666 -40.68777777),189.11
5107925,A904,SORRISO,2002-12-16,POINT(-12.555 -55.72277777),379.31
3170206,A507,UBERLANDIA,2002-12-18,POINT(-18.91694443 -48.25555555),874.77
3104007,A505,ARAXA,2002-12-19,POINT(-19.60583333 -46.94972221),1018.32
3143302,A506,MONTES CLAROS,2002-12-19,POINT(-16.68638888 -43.84388888),645.87
5104104,A906,GUARANTA DO NORTE,2002-12-20,POINT(-9.9525 -54.89777777),283.58
2900801,A405,CARAVELAS,2002-12-20,POINT(-17.73944444 -39.25861111),6.05
2909802,A406,CRUZ DAS ALMAS,2003-01-19,POINT(-12.67555554 -39.08944444),219.76
1500800,A201,BELEM,2003-01-20,POINT(-1.41111111 -48.43944444),21.17
4216602,A806,FLORIANOPOLIS,2003-01-22,POINT(-27.6025 -48.61999999),4.87
1502400,A202,CASTANHAL,2003-01-24,POINT(-1.30083333 -47.94805555),47.13
2913606,A410,ILHEUS,2003-01-25,POINT(-14.65888888 -39.18138888),80.21
4106902,A807,CURITIBA,2003-01-28,POINT(-25.4486111 -49.23055554),922.91
